Area_sqft,Bedrooms,Bathrooms,Location,Price
800,2,1,Jaipur,2800000
900,2,1,Jaipur,3200000
1000,2,2,Jaipur,3600000
1100,2,2,Jaipur,4000000
1200,2,2,Jaipur,4500000
1300,3,2,Jaipur,4800000
1400,3,2,Jaipur,5200000
1500,3,2,Jaipur,5500000
1600,3,2,Jaipur,5900000
1700,3,3,Jaipur,6300000
1800,3,3,Jaipur,6800000
1900,4,3,Jaipur,7200000
2000,4,3,Jaipur,7600000
2200,4,3,Jaipur,8300000
2400,4,4,Jaipur,9200000
2600,4,4,Jaipur,10000000
2800,4,4,Jaipur,10800000
3000,4,5,Jaipur,11800000
3200,4,5,Jaipur,12600000
3500,5,5,Jaipur,14000000
